ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"75",IvP III 68,,https://inscriptions.packhum.org/text/303073?bookid=747&location=1674,"68, pp. 108",Taf. 25,C. Weihungen,Imperial,"-27","117",?,Dedication,Dedicated by (Faustina the elder) in Latin to Asklepios and Salus (Hygieia),"In Latin, possibly pre-Hadrian because it does not mention Zeus-Asklepios",Plate/plaque,White Marble,Found in the middle of the Cryptoporticus,Not inside the cryptoporticus,It fell inside thus was not originally inside, ,9514385.94440175,4331881.63198696,,n,Depot ,,,Beelines__Point_IvP III 68,,,,,,Beelines_Point_IvP III 68,,Asclepio (Asklepios),Salus (Hygieia),,L. Sempronius Faustina (the Elder),,,L. Sempronius,,,Imperial freedman or slave? Tabularius proviniciae Asiae,,
"76",IvP III 69,,https://inscriptions.packhum.org/text/303074?bookid=747&location=1674,"69, pp. 108",Taf. 25,C. Weihungen,?,"-27","117",?,Dedication,"Dedicated to Asklepios Soter and Hygieia, as thanksgiving after being saved ",possibly pre-Hadrian because it does not mention Zeus-Asklepios,Board (tafel),white marble,Found in the rubble of in the middle of the northern hall, , , ,9514355.143,4331946.815,,n,Depot ,,,Beelines__Point_IvP III 69,,,,,,Beelines_Point_IvP III 69,,Asklepios Soter,Hygieia,,,Zeuxippos,,,,Zeuxippos,,,
"77",IvP III 70,,https://inscriptions.packhum.org/text/303075?bookid=747&location=1674,"70, pp. 108",Taf. 25,C. Weihungen,Hellenistic,"-200","-100",200-100 BC,Dedication,Restored as dedication to Asklepios Soter and Hygieia, ,Thick plate/plaque,"gray-blue, white-veined marble","Found at the Festplatz, norht-eastern courtyard", , , ,9514410.04,4331927.304,,n,Depot ,,,Beelines__Point_IvP III 70,,,,,,Beelines_Point_IvP III 70,,Asklepios Soter,Hygieia,,,,,,,,,,
"78",IvP III 71,,https://inscriptions.packhum.org/text/303076?bookid=747&location=1674,"71, pp. 108-109",Taf. 29,C. Weihungen,Hellenistic,"-27","100",27 BC-100AD?,Dedication,"Dedication by ""Asionikes"" Attalos of Pergamon (??) to Asklepios Soter and Hygieia after being saved from many dangers","Likely an illness. Attalos of Pergamon is not specified by Habicht. Mentions ???????? which also can be diakonta. Because two bronze snakes have been found, as votives, Habicht interprets it as snakes",Tabula Ansata,Bronze,"""Bergama""", , , ,,,,n,,,,Beelines__Point_IvP III 71,Asia (province),,https://pleiades.stoa.org/places/837,27.2786844167,37.9096964167,Beelines_Point_IvP III 71,,Asklepios Soter,Hygieia,,"""Asionikes"" Attalos of Pergamon (??)",Attalos,,,,Attalos,,"therapeutes; Asionike",
"79",IvP III 72,,https://inscriptions.packhum.org/text/303077?bookid=747&location=1674,"72, pp. 109-110",Taf. 28,C. Weihungen,Imperial,"-27","250",?,Dedication,"Dedication to Asklepios, Hygieia, Koronis, Epione by a woman called Oneso for Gemellus and Epaphrodites",Likely after a dream. First testimony to Epione,Votive altar,White marble,Western part of the Festplatz, , , ,9514341.941,4331924.837,,n,Depot ,,,Beelines__Point_IvP III 72,,,,,,Beelines_Point_IvP III 72,,Asklepios,"Hygieia; Koronis; Epione",,"Oneso, for Gemellos and Epaphrodites","Oneso; Gemellos; Epaphrodites",,,,"Gemellos; Epaphrodites; Oneso",,,
"80",IvP III 73,,https://inscriptions.packhum.org/text/303078?bookid=747&location=1674,"73, pp. 111",Taf. 26,C. Weihungen,Imperial,"-27","250",?,Dedication,Dedication to Asklepios Soter by Ti. Likinios Ka[..], ,"""Geison mit Zahnschnitt""",White marble,Found 20m south of roman temple of Asklepios near eastern part of the southhall,"According to Habicht, who quotes Wiegand: possibly above a window in the temple", , ,9514316.448,4331870.98,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 73,,,,,,Beelines_Point_IvP III 73,,Asklepios Soter,Ti. Likinios Ka[..],,Ti. Likinios Ka[..],,"T. Licinius Ca…; Marcia",,,"T. Licinius Ca…; Marcia",,,
"81",IvP III 74,,https://inscriptions.packhum.org/text/303079?bookid=747&location=1674,"74, pp. 111-112",Taf. 26,C. Weihungen,Imperial,"114","116",114-116,Dedication,Dedication to Asklepios Soter by L. Albin[i]us Germanus of Alexandria Troas, ,Block,White marble,"Found used as a paving stone immediately north of the altar near the ""felsbarre"" near theatre","Originally not as paving stone, but unsure where it was intended","Used as a paving stone immediately north of the altar near the ""felsbarre"" near theatre", ,9514314.79047936,4331942.60799026,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 74,Alexandria in Troas,,https://pleiades.stoa.org/places/550434,26.1547495,39.7564735,Beelines_Point_IvP III 74,,Asklepios Soter,,,L. Albin[i]us Germanus of Alexandria Troas,,,L. Albin[i]us Germanus of Alexandria Troas,,L. Albin[i]us Germanus of Alexandria Troas,,,
"82",IvP III 75,,https://inscriptions.packhum.org/text/303080?bookid=747&location=1674,"75, pp. 112",Taf. 26,C. Weihungen,?,"-200","-100",?,Dedication,"Dedication to Asklepios Soter by Menestheus of Nikaia in Bithynia, after a dream", ,Cuboid block,White Marble,Found in the barracks near Asklepieion,Originally in Asklepieion, , ,9514829.375,4331832.546,,n,,,,Beelines__Point_IvP III 75,Nikaia in Bithynia,,https://pleiades.stoa.org/places/511268,29.7146816667,40.4290936667,Beelines_Point_IvP III 75,,Asklepios Soter,,,Menestheus of Nikaia in Bithynia,,,,Menestheus of Nikaia in Bithynia,Menestheus of Nikaia in Bithynia,,,
"83",IvP III 76,,https://inscriptions.packhum.org/text/303081?bookid=747&location=1674,"76, pp. 112",Taf. 26,C. Weihungen,?,"-200","-100",?,Dedication,Dedicated to Asklepios Soter by Menestheus of Nikaia after a dream,"Dedicated simultaneously as no.75, based on exactly the same tekst",Cuboid block,White Marble,Found in the barracks near Asklepieion, , , ,9514829.375,4331832.546,,n,,,,Beelines__Point_IvP III 76,Nikaia in Bithynia,,https://pleiades.stoa.org/places/511268,29.7146816667,40.4290936667,Beelines_Point_IvP III 76,,Asklepios Soter,,,Menestheus of Nikaia in Bithynia,,,,Menestheus of Nikaia in Bithynia,Menestheus of Nikaia in Bithynia,,,
"84",IvP III 77,,https://inscriptions.packhum.org/text/303082?bookid=747&location=1674,"77, pp. 112-113",,C. Weihungen,Imperial,"66","67",66-67 AD,Dedication,"Dedication by a soldier, Lucius Epidotius Domitius of Legio I Italia to Asklepios after a dream","The Legion was stationed in Novae in Moesia inferior from ca. 70 - 300 AD. Unkown whether the mothertongue of the dedicant was Greek; he was likely an italian.",Small altar,White Marble,Found in the barracks near Asklepieion, , , ,9514829.375,4331832.546,,n,,,,Beelines__Point_IvP III 77,,,,,,Beelines_Point_IvP III 77,,Asklepios,,,"soldier, Lucius Epidotius Domitius",,,L. [E?] pidius Domitius,,"soldier, Lucius Epidotius Domitius",Soldier Legio I Italica,,
"85",IvP III 78,,https://inscriptions.packhum.org/text/303083?bookid=747&location=1674,"78, pp 113-114",Taf. 27,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication by C. Flavonius Anicianus Sanctus of Antiocheia (Pisidia) for his son Flavionius Lollianus,"Family was Senatorial; placed after a prayer",Large altar,Marble,"Found in a Turkisch graveyard, close to a ""Konak"", a name for a house normally used for houses used as an official residence", ,Was later used as garden-decoration in the garden of the Konak, ,,,,n,,,,Beelines__Point_IvP III 78,Pisidian Antioch,,https://pleiades.stoa.org/places/609307,31.1894355,38.305175,Beelines_Point_IvP III 78,,Asklepios Soter,,,C. Flavonius Anicianus Sanctus,,,"C. Flavionus Anicianus Sanctus from Pisidian Antioch; C. Flavonius Lollianus from Pisidian Antioch",,for his son Flavionius Lollianus,"Equites; Senator",,
"86",IvP III 79,,https://inscriptions.packhum.org/text/303084?bookid=747&location=1674,"79, pp. 114-115",Taf. 27,C. Weihungen,Imperial,"115","130",115-130 AD,Dedication,Dedication to Asklepios Soter by a Consul named Flavianus,"First three lines restored, but Asklepios Soter is likely due to the inclusion of therapeutes ??????????",Statue base,White Marble,"""Gefunden am Trachytquaderbassin""", , , ,,,,n,,,,Beelines__Point_IvP III 79,,,,,,Beelines_Point_IvP III 79,,Asklepios Soter,,,Flavianus (consul),,,P. Afranius Flavianus,,"Flavianus; P. Afranius Flavianus",Senator,"therapeutes; perithytes",
"87",IvP III 80,https://drive.google.com/file/d/123JL3fxYoff9YhWvmYDI9d-f_8GAAtTt/view?usp=sharing,https://inscriptions.packhum.org/text/303085?bookid=747&location=1674,"80, pp. 115",Taf. 27,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Titus Ailios Italos and Claudia Apfion (possibly Appion) for their child Poplius Ailios Meidonos,"This was found in the Asklepios temple, which I took as an indication that it is Imperial (Habicht doesn't specifiy dates)Based on the writing of Apfion instead of Appion, the family is likely originally from Asia Minor.",Fragment of statue base,Light Blue-ish marble,Found in the temple of Asklepios, ,"Because Habicht does not give a date, it could also have been moved - altough this seems unlikey to me. It is unclear which temple: old or new. Based on Habicht's further mentions of the Asklepios temple, he likely refers to the Roman round temple of Zeus-Asklepios; his plan for example simply names the older temples ""Hellenistic temple""", ,9514320.58759592,4331912.94566323,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 80,,,,,,Beelines_Point_IvP III 80,,Asklepios Soter,,,Titus Aelius Italus and Claudia Aphion (possibly Appion) for their child Poplius Aelius Meidon,,"Titus Aelius Italus; Claudia Aphion; Poplius Aelius Meidon",,,Titus Ailios Italos and Claudia Apfion (possibly Appion) for their child Poplius Ailios Meidonos,,,
"88",IvP III 81,,https://inscriptions.packhum.org/text/303086?bookid=747&location=1674,"81, pp. 116",Taf. 29,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Sotas and Dionysia,"It has a specific form, copied in Habicht p.116. Habicht argues that it was a disease from which they recovered simultaneously.",Tabula Ansata,Bronze,Found in the Asklepieion without further details, , , ,9514470.938,4331887.249,,n,,,,Beelines__Point_IvP III 81,,,,,,Beelines_Point_IvP III 81,,Asklepios Soter,,,Sotas and Dionysia,"Sotas; Dionysia",,,,"Sotas; Dionysia",,,
"89",IvP III 82,,https://inscriptions.packhum.org/text/303087?bookid=747&location=1674,"82, pp. 116",Taf. 29,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Hermos,Unusual name ,Tabula Ansata,Bronze,Found at the middle entrance to the southern hall, , , ,9514347.764,4331845.737,,n,,,,Beelines__Point_IvP III 82,,,,,,Beelines_Point_IvP III 82,,Asklepios Soter,,,Hermos,Hermos,,,,Hermos,,,
"90",IvP III 83,,https://inscriptions.packhum.org/text/303088?bookid=747&location=1674,"83, pp. 116",Taf. 29,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Nikephoros,"It was likely a (freed) slave; named after Athena Nikephoros ",Tabula Ansata,Bronze,Found southeast from the large Incubationhall,A hole with bronze wire suggest it was hung ,"This incubationhall is older than the large complex (it is near the hellenistic buildings). Thus the date can be pre-Roman, but it is not specified", ,9514347.27789682,4331887.03284567,,n,,,,Beelines__Point_IvP III 83,,,,,,Beelines_Point_IvP III 83,,Asklepios Soter,,,Nikephoros,Nikephoros,,,,Nikephoros,,,
"91",IvP III 84,,https://inscriptions.packhum.org/text/303089?bookid=747&location=1674,"84, pp. 117",Taf. 29,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Threptos, ,Tabula Ansata,Bronze sheet,Found in the Asklepieion without further details,A hole for bronze wire suggests it was hung, , ,9514470.938,4331887.249,,n,,,,Beelines__Point_IvP III 84,,,,,,Beelines_Point_IvP III 84,,Asklepios Soter,,,Threptos,Threptos,,,,Threptos,,,
"92",IvP III 85,,https://inscriptions.packhum.org/text/303090?bookid=747&location=1674,"85, pp. 117",,C. Weihungen,Imperial,"-27","250",?,Dedication,"Dedication to Asklepios Soter by the priestess Epiktesis, also connected to imperial cult","Link to Emperors: ?????????[???]. That she was female is interesting, as previously the priesthood was tought of as primarily male",Small altar,White marble,"Found in the ""Garden of Alexis"" near turkish cementaries", , , ,,,,n,,,,Beelines__Point_IvP III 85,,,,,,Beelines_Point_IvP III 85,,Asklepios Soter,Sebastoi,,Epiktesis (priestess),Epiktesis of Heraklas,,,,Epiktesis of Heraklas,,"priestess, imperial cult",
"93",IvP III 86,,https://inscriptions.packhum.org/text/303091?bookid=747&location=1674,"86, pp. 117",Taf. 28,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Eueteria ,Her eye was healed. She is also named ????????????,Small altar,Limestone,Found north of the Asklepiostemple, , , ,9514320.64816689,4331919.06883363,,n,Depot ,,,Beelines__Point_IvP III 86,,,,,,Beelines_Point_IvP III 86,,Asklepios Soter,,,Eueteria,Eueteria,,,,Eueteria,,therapeutheisa,
"94",IvP III 87,,https://inscriptions.packhum.org/text/303092?bookid=747&location=1674,"87, pp. 118",Taf. 31,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Marcia,Also therapeutheisia. Suggested as imperial due to Roman name,Tabula Ansata,Bronze sheet,Found in Northern chamber 1, ,I do not know which chamber he refers to, ,,,,n,,,,Beelines__Point_IvP III 87,,,,,,Beelines_Point_IvP III 87,,Asklepios Soter,,,Marcia,,Marcia,,,,,therapeutheisa,
"95",IvP III 88,,https://inscriptions.packhum.org/text/303093?bookid=747&location=1674,"88, pp. 118",Taf. 28,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Julia Paulla of Kos,As a thanks to Asklepios (?????????????). Interesting that she used Pergamon instead of the Koan Asklepieion,Votive base,Blue-Grey marble,Found at thefestzplatz at the west-end of the Southernhall, , , ,9514292.9583224,4331863.64173349,,n,Depot ,,,Beelines__Point_IvP III 88,Kos,,https://pleiades.stoa.org/places/599528,27.257012,36.875681,Beelines_Point_IvP III 88,,Asklepios Soter,,,Julia Paulia,,,Julia Paula from Kos,,,,,
"96",IvP III 89,,https://inscriptions.packhum.org/text/303094?bookid=747&location=1674,"89, pp. 118",,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios Soter ,"The writing is ""late"", but otherwise the dates are unspecified",Tabula Ansata,Bronze sheet with two ears,Found in the northern hall,"It has holes for nails, suggesting it was nailed to a wall or nailed upon something else", , ,9514355.143,4331946.815,,n,,,,Beelines__Point_IvP III 89,,,,,,Beelines_Point_IvP III 89,,Asklepios Soter,,,,Atiki,,,,Atiki,,,
"97",IvP III 90,,https://inscriptions.packhum.org/text/303095?bookid=747&location=1674,"90, pp. 118",Taf. 31,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter ,Writing distributed unevenly over the tabula,Tabula Ansata,Bronze sheet,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 90,,,,,,Beelines_Point_IvP III 90,,Asklepios Soter,,,Lais,Lais,,,,Lais,,,
"98",IvP III 91,,https://inscriptions.packhum.org/text/303096?bookid=747&location=1674,"91, pp. 118-119",Taf. 30,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Fabia Secunda after a dream,Her ears were healed. ,Human ear with tablet,Gilded bronze,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 91,,,,,,Beelines_Point_IvP III 91,,Asklepios Soter,,,Fabia Secunda,,Fabia Secunda,,,,,,
"99",IvP III 92,,https://inscriptions.packhum.org/text/303097?bookid=747&location=1674,"92, pp. 119",Taf. 28,C. Weihungen,Hellenistic?,"-200","-27",,Dedication,Dedication to Asklepios Soter by Menestrate daughter of Heliodoros,For her son. The gemination of the Sigma is common from early Hellenistic period onwards,Statue base,Blue-ish Marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 92,,,,,,Beelines_Point_IvP III 92,,Asklepios Soter,,,"Menestrate, daughter of Heliodoros","Menestrate, daughter of Heliodoros",,,,"Menestrate, daughter of Heliodoros",,,
"100",IvP III 93,,https://inscriptions.packhum.org/text/303098?bookid=747&location=1674,"93, pp. 119",Taf. 43,C. Weihungen,Late Imperial,"150","250",?,Dedication,Dedication to Asklepios Soter , ,Votive base,Alabaster,"Found west of the Roman baths on open space ""vor dem tempelfundament""", ,This templefundament seems to be the Hellenistic temple complex, ,9514314.79,4331942.608,,n,Depot ,,,Beelines__Point_IvP III 93,,,,,,Beelines_Point_IvP III 93,,Asklepios Soter,,,Amphipolites,Amphipolites,,,,,,,
"101",IvP III 94,,https://inscriptions.packhum.org/text/303099?bookid=747&location=1674,"94, pp. 119",Taf. 43,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter,the names of the dedicators are not readable,Small altar,White marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 94,,,,,,Beelines_Point_IvP III 94,,Asklepios Soter,,,,,,,,,,,
"102",IvP III 95,,https://inscriptions.packhum.org/text/303100?bookid=747&location=1674,"95, pp. 120",Taf. 43,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter, ,Small votive altar, ,Found in the large room of the western hall, ,"""Westhallensaal"" as named by Habicht is a bit confusing if taking into account his plan: there is a westraum in the middle of the western hall, but also a südwestsaal southwest corner of the hall. I took the ""saal"" as an indication that it is the larger room", ,9514272.346,4331857.786,,n,Depot ,,,Beelines__Point_IvP III 95,,,,,,Beelines_Point_IvP III 95,,Asklepios Soter,,,,,,,,,,,
"103",IvP III 95b,,https://inscriptions.packhum.org/text/303101?bookid=747&location=1674,"95b, pp. 120",Taf. 43,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter by Elpis, ,Small altar,Marble,"Found in front of the northern hall, near sacred fountain/well", , , ,9514314.79,4331942.608,,n,Depot ,,,Beelines__Point_IvP III 95b,,,,,,Beelines_Point_IvP III 95b,,Asklepios Soter,,,Elpis,Elpis,,,,,,,
"104",IvP III 95c1,,https://inscriptions.packhum.org/text/303102?bookid=747&location=1674,"95c, pp. 120",Taf. 43,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by Andromache / Artemidoros,2 restorations suggested by Habicht,unstated,White marble,Found in the barracks near Asklepieion, , , ,9514829.375,4331832.546,,n,,,,Beelines__Point_IvP III 95c1,,,,,,Beelines_Point_IvP III 95c1,,Asklepios,,,Andromache / Artemidoros,Andromache / Artemidoros,,,,,,,
"105",IvP III 95c2,,https://inscriptions.packhum.org/text/303103?bookid=747&location=1674,"95c, pp. 120",,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by Andromache / Artemidoros,2 restorations suggested by Habicht,unstated,White marble,Found in the barracks near Asklepieion, , , ,9514829.375,4331832.546,,n,,,,Beelines__Point_IvP III 95c2,,,,,,Beelines_Point_IvP III 95c2,,Asklepios,,,Andromache / Artemidoros,Andromache / Artemidoros,,,,,,,
"106",IvP III 96,,https://inscriptions.packhum.org/text/303104?bookid=747&location=1674,"96, pp. 120",,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios Soter and Hygieia as a thanks-offering by Korinthos,"Fragmented, so Hygieia is based on a restoration",Round Cippus,white marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 96,,,,,,Beelines_Point_IvP III 96,,Asklepios Soter,Hygieia,,Korinthos,Korinthos,,,,Korinthos,,,
"107",IvP III 97,,https://inscriptions.packhum.org/text/303105?bookid=747&location=1674,"97, pp. 120-121",,C. Weihungen,Hellenistic,"-200","-150",200-150 BC,Dedication,Dedication to Asklepios Soter by Herodes,Dated to early second century BC based on letterform,Fragment of unspecified form,White Marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 97,,,,,,Beelines_Point_IvP III 97,,Asklepios Soter,,,Herodes,Herodes,,,,Herodes,,,
"108",IvP III 98,,https://inscriptions.packhum.org/text/303106?bookid=747&location=1674,"98, pp.  121",,C. Weihungen,Imperial,"138","161",138-161 AD,Dedication,Dedication to Asklepios Soter,"Really fragmented; Habicht mentions a possible restauration by Wiegand dating it to the reign of Antonius Pius",Fragment of pillar or ante,White marble,Found at the stairs of the Asklepios-soter temple,Likely was part of a vestibule, , ,9514331.343,4331912.102,,n,,,,Beelines__Point_IvP III 98,,,,,,Beelines_Point_IvP III 98,,Asklepios Soter,,,,,,,,,,,
"109",IvP III 99,,https://inscriptions.packhum.org/text/303107?bookid=747&location=1674,"99, pp. 121-122",Taf. 29,C. Weihungen,Imperial,"-27","250",?,Dedication,Dedication to Asklepios by Alexander as arcarius of the imperial ludi (gladiator school),Likely a (former) imperial slave,Thin sheet,Bronze,Found at the Festplatz, , , ,9514376.633,4331914.175,,n,,,,Beelines__Point_IvP III 99,,,,,,Beelines_Point_IvP III 99,,Asklepios epikoos,,,Alexander as arcarius of the imperial ludi (gladiator school),,,,Alexandros,Imperial lords (Kyriou autokratoros),arcarius Iudorum Caesaris,,
"110",IvP III 100,,https://inscriptions.packhum.org/text/303108?bookid=747&location=1674,"100, pp. 122",Taf. 43,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to an unspecified god by Claudia Pantagathe for children,"Likely dedicated to Asklepios, but Wiegand interprets it as dedicated to Artemis",Small altar,White marble,Found in the northern hall between rubble, , , ,9514355.143,4331946.815,,n,Depot ,,,Beelines__Point_IvP III 100,,,,,,Beelines_Point_IvP III 100,,"Asklepios, epikoos",,,Claudia Pantagathe (mother),,Claudia Pantagathe,,,,,,
"111",IvP III 101,,https://inscriptions.packhum.org/text/303109?bookid=747&location=1674,"101, pp. 122-123",,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios as epiphanestos theos by G. Varronios Polykleitos, ,Small altar,White marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 101,,,,,,Beelines_Point_IvP III 101,,"Asklepios, epiphanestatos topos",,,G. Varronios Polyclitus,,G. Varronios Polyclitus,,,C. Varronius Polyclitus,,,"Robert 1948, Hellenica 6, 51 n.6  - on dedication to Asklepios in Manisa museum (epiphanestatos theos?)"
"112",IvP III 102,https://drive.google.com/file/d/1bcJjRBy8Dt2-FhbsGEsTb73SnsX1wK0Y/view?usp=sharing,https://inscriptions.packhum.org/text/303110?bookid=747&location=1674,"102, pp. 123",Taf. 45,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by a doctor Menoitas of Mylasa (Karia),"He was doctor of actors and possibly gladiators; language reminds Habicht of Attic Drama's. Dedication might have been an altar, but unsure",Fragment of block,white marble,Found west of the Hellenistic Schöpfbrunnen (fountain/well), , ,Petsalis-Diomidis 2010 (250ff) parallels the autobiographical dimension of this dedication to Aristides' hieroi logoi,9514357.44,4331906.542,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 102,Mylasa,,https://pleiades.stoa.org/places/599809,27.7902386667,37.3027506667,Beelines_Point_IvP III 102,,Asklepios,,,Menoitas of Mylasa (doctor),,,,Menoitas of Mylasa,,,,
"113",IvP III 103,https://drive.google.com/file/d/1sWx9_1zroLwPNFD3UEtVBEC0Td4DDrso/view?usp=sharing,https://inscriptions.packhum.org/text/303111?bookid=747&location=1674,"103, pp. 123-4",Taf. 34,C. Weihungen,Imperial,"117","200",117-200 AD,Dedication,Dedication likely to Asklepios by Publius. Aelius Ingenuus,"Asklepios is restored in the tekst. Based on other names with Publius, it is argued that this man received Roman citizenship from Hadrian either directly or indirectly",Marble plate/plaque,White marble,Found north of the vestibule of the temple of Asklepios, , , ,9514331.343,4331912.102,,n,Bergama Museum,,,Beelines__Point_IvP III 103,,,,,,Beelines_Point_IvP III 103,,Asklepios,,,Publius. Aelius Ingenuus,,,,,,,,
"114",IvP III 104,,https://inscriptions.packhum.org/text/303112?bookid=747&location=1674,"104, pp. 124-5",Taf. 43,C. Weihungen,Imperial,"117","200",117-200 AD,Dedication,Dedication to Asklepios by possibly Publius Aelius Nicon,"This might be Galen's father, Aelius Nicon (architect and Geometer). But  a name derived from Nikaia or Nikomedia is also possible instead of Nicon",Plate/plaque,White Marble,Found in the Roman Zeus-Asklepios temple, , , ,9514431.722,4331871.841,,n,Depot ,,,Beelines__Point_IvP III 104,,,,,,Beelines_Point_IvP III 104,,Asklepios Soter,,,Publius Aelius Ni[con],,Publius Aelius Ni[con],,,,,,
"115",IvP III 105,,https://inscriptions.packhum.org/text/303113?bookid=747&location=1674,"105, pp. 125",Taf. 34,C. Weihungen,Roman,"-129","250",?,Dedication,Dedication to Asklepios by M. Ailios Xenodochos,"Man from Kardia based on -chos instead of -kos, which is more common  (Xenodokos)",Architrave block,Coarse-White marble,Found in the middle of the Festplatz, , , ,9514376.633,4331914.175,,y,B063,9514334.601,4331927.937,Beelines__Point_IvP III 105,,,,,,Beelines_Point_IvP III 105,,Asklepios,,,M. Aelius Xenodochus,,M. Aelius Xenodochus,,,,,,
"116",IvP III 106,,https://inscriptions.packhum.org/text/303114?bookid=747&location=1674,"106, pp.  125-6",Taf. 33,C. Weihungen,Imperial,"100","125",100-125 AD,Dedication,Dedication to Asklepios Kyrios by Flavius Lucius,He was frumentarius of Legio VI Ferrata,Tabula Ansata,Bronze,Found at the western side of the Festplatz,"A hole with a bronze wire was likely part of the tabula; thus it hung somewhere", , ,9514341.941,4331924.837,,n,,,,Beelines__Point_IvP III 106,,,,,,Beelines_Point_IvP III 106,,Asklepios Kyrios,,,Flavius Lucius,,,Flavius Lucius,,,frumentarius of 6th Legion Ferrata,,
"117",IvP III 107,,https://inscriptions.packhum.org/text/303115?bookid=747&location=1674,"107, pp. 126",Taf. 45,C. Weihungen,Imperial,"-27","250",?,Dedication,Dedication in Latin to Asklepios by imperial freedman Carpophorus,"In Latin instead of Greek; he functioned as a tabularus (accountant of some sorts)",Cippus ,Black-grey marble,Found in the eastern end of the northern hall, , , ,9514414.13705996,4331938.95152422,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 107,Asia (province),,https://pleiades.stoa.org/places/837,27.2786844167,37.9096964167,Beelines_Point_IvP III 107,,Asklepios,,,Carpophorus (imperial freedman),,,,Carpophorus,,Imperial freedman or slave? Tabularius proviniciae Asiae,,
"118",IvP III 108,,https://inscriptions.packhum.org/text/303116?bookid=747&location=1674,"108, pp. 126",Taf. 31,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by Agathopos,Likely local Pergamene,Tabula Ansata,Bronze,Found in the Festplatz,A hole in the middle of the tabula informs that it was hung, , ,9514376.633,4331914.175,,n,,,,Beelines__Point_IvP III 108,,,,,,Beelines_Point_IvP III 108,,,,,Agathopos,Agathopos,,,,,,,
"119",IvP III 109,,https://inscriptions.packhum.org/text/303117?bookid=747&location=1674,"109, pp. 127",Taf. 32,C. Weihungen,Roman,"-129","250",?,Dedication,Dedication to Asklepios by […] Julius,The dedicant was male,Bracelet,Bronze,"Found in the Festplatz, south of the Hellenistic incubationhall", , , ,9514376.633,4331914.175,,n,,,,Beelines__Point_IvP III 109,,,,,,Beelines_Point_IvP III 109,,Asklepios,,,[…] Julius,,,Julius,,,,,
